639	안암	0.9
640	고려대	0.8
641	월곡	1.4
642	상월곡	0.8
643	돌곶이	0.8
644	석계	1
645	태릉입구	0.8
646	화랑대	0.9
647	봉화산	0.7

709	장암	0
710	도봉산	1.4
711	수락산	1.6
712	마들	1.4
713	노원	1.2
714	중계	1.1
715	하계	1
716	공릉	1.3
717	태릉입구	0.8
718	먹골	0.9
719	중화	0.9
720	상봉	1
721	면목	0.8
722	사가정	0.9
723	용마산	0.8
724	중곡	0.9
725	군자	1.1
726	어린이대공원	1.1
727	건대입구	0.8
728	뚝섬유원지	1
729	청담	2
730	강남구청	1.1
731	학동	0.9
732	논현	1
733	반포	0.9
734	고속터미널	0.9
735	내방	2.2
736	총신대입구(이수)	1
737	남성	1
738	숭실대입구	2
739	상도	0.9
740	장승배기	0.9
741	신대방삼거리	1.2
742	보라매	0.8
743	신풍	0.9
744	대림	1.4
745	남구로	1.1
746	가산디지털단지	0.8
747	철산	1.4
748	광명사거리	1.3
749	천왕	1.7
750	온수	1.5
751	까치울	2.2
752	부천종합운동장	1.2
753	춘의	0.9
754	신중동	1
755	부천시청	1.1
756	상동	0.9
757	삼산체육관	1.1
758	굴포천	0.9
759	부평구청	0.9

810	암사	0
811	천호	1.3
812	강동구청	0.9
813	몽촌토성	1.6
814	잠실	0.8
815	석촌	1.2
816	송파	0.9
817	가락시장	0.8
818	문정	0.9
819	장지	0.9
820	복정	0.9
821	산성	2.7
822	남한산성입구	1.3
823	단대오거리	0.8
824	신흥	0.8
825	수진	0.9
826	모란	1

901	개화	0
902	김포공항	3.6
903	공항시장	0.8
904	신방화	0.8
905	마곡나루	0.9
906	양천향교	1.4
907	가양	1.3
908	증미	0.7
909	등촌	1
910	염창	0.9
911	신목동	0.9
912	선유도	1.2
913	당산	1
914	국회의사당	1.5
915	여의도	0.9
916	샛강	0.8
917	노량진	1.2
918	노들	1.1
919	흑석	1.1
920	동작	1.4
921	구반포	1
922	신반포	0.7
923	고속터미널	0.8
924	사평	1.1
925	신논현	0.9
926	언주	0.8
927	선정릉	0.9
928	삼성중앙	0.8
929	봉은사	0.8
930	종합운동장	1.4

A01	서울	0
A02	공덕	3.3
A03	홍대입구	2.8
A04	디지털미디어시티	3.4
A041	마곡나루	8.6
A05	김포공항	2.3
A06	계양	6.6
A07	검암	5.5
A071	청라국제도시	4.8
A072	영종	10.3
A08	운서	3.5
A09	공항화물청사	4.3
A10	인천국제공항	2.6

K335	문산	0
K334	파주	4.4
K333	월롱	2.2
K331	금촌	4.1
K330	금릉	2.1
K329	운정	3.1
K328	야당	2.1
K327	탄현	1.5
